"EJE_DESCRIPCION","SERVICIO","PROYECTO","CODIGOBIP","ETAPAPROYECTO","FINANCIAMIENTO","NOMBREPROYECTO","REGIONGEOGRAFICA","FECHA_INICIO","FECHA_TERMINO","MONTO_VIGENTE_P","PROVINCIAS","COMUNAS"
"Competitividad / Conectividad","Dirección de Vialidad",51503,"40030676-0","EN EJECUCION","Sectorial","CONSERVACION GLOBAL DE CAMINOS REGION DE VALPARAISO 2022-2025","Valparaíso",01/01/22,28/01/25,5524941,"VALPARAISO, ISLA DE PASCUA, LOS ANDES, PETORCA, QUILLOTA, SAN ANTONIO, SAN FELIPE, MARGA MARGA","CONCON, JUAN FERNANDEZ, PUCHUNCAVI, QUILPUE, QUINTERO, VILLA ALEMANA, VIÑA DEL MAR, ISLA DE PASCUA, LOS ANDES, CALLE LARGA, RINCONADA, SAN ESTEBAN, LA LIGUA, CABILDO, PAPUDO, PETORCA, ZAPALLAR, QUILLOTA, CALERA, HIJUELAS, LA CRUZ, NOGALES, OLMUE, SAN ANTONIO, ALGARROBO, CARTAGENA, EL QUISCO, EL TABO, SANTO DOMINGO, SAN FELIPE, CATEMU, LLAILLAY, PANQUEHUE, PUTAENDO, SANTA MARIA, QUILPUE, LIMACHE, OLMUE, VILLA ALEMANA"
"Competitividad / Conectividad","Dirección de Vialidad",51500,"40030673-0","EN EJECUCION","Sectorial","CONSERVACION GLOBAL MIXTA CAMINOS RED VIAL REGION DE COQUIMBO 2022-2026","Coquimbo",01/01/23,26/06/27,28827689,"ELQUI, CHOAPA, LIMARI","LA HIGUERA, PAIGUANO, ILLAPEL, CANELA, OVALLE, COMBARBALA"
"Competitividad / Conectividad","Dirección de Vialidad",51499,"40030691-0","EN EJECUCION","Sectorial","CONSERVACION GLOBAL MIXTA CAMINOS RED VIAL REGION DE LOS RIOS 2022-2026","Los Ríos",01/01/22,04/05/28,33552768,"VALDIVIA, RANCO","CORRAL, LA UNION"
"Competitividad / Conectividad","Dirección de Vialidad",51498,"40030690-0","EN EJECUCION","Sectorial","CONSERVACION GLOBAL DE CAMINOS REGION DE LOS RIOS 2022-2025","Los Ríos",01/01/23,08/03/26,6099680,"VALDIVIA, RANCO","VALDIVIA, FUTRONO"
"Competitividad / Conectividad","Dirección de Vialidad",51497,"40030671-0","EN EJECUCION","Sectorial","CONSERVACION CONSERVACION GLOBAL MIXTA CAMINOS RED VIAL REGION DE TARAPACA 2022-2026","Tarapacá",01/01/23,15/09/28,21137868,"IQUIQUE, TAMARUGAL","IQUIQUE, ALTO HOSPICIO, POZO ALMONTE, CAMIÑA, COLCHANE, HUARA, PICA"
"Competitividad / Conectividad","Dirección de Vialidad",51494,"40030689-0","EN EJECUCION","Sectorial","CONSERVACION GLOBAL DE CAMINOS REGION DE MAGALLANES 2022-2025","Magallanes y de la Antártica Chilena",01/01/22,11/09/25,7262317,"MAGALLANES, ANTARTICA CHILENA, TIERRA DEL FUEGO, ULTIMA ESPERANZA","PUNTA ARENAS, CABO DE HORNOS, PORVENIR, NATALES"
"Competitividad / Conectividad","Dirección de Vialidad",51493,"40030677-0","EN EJECUCION","Sectorial","CONSERVACION GLOBAL MIXTA CAMINOS RED VIAL REGION DE LA ARAUCANIA 2022-2026","La Araucanía",01/01/22,16/12/27,69447609,"CAUTIN, MALLECO","TEMUCO, CARAHUE, CUNCO, CURARREHUE, FREIRE, ANGOL, COLLIPULLI, CURACAUTIN, ERCILLA, LONQUIMAY"
"Competitividad / Conectividad","Dirección de Vialidad",51492,"40030672-0","EN EJECUCION","Sectorial","CONSERVACION GLOBAL DE CAMINOS REGION DE LA ARAUCANIA 2022-2025","La Araucanía",01/01/22,22/07/26,13716164,"CAUTIN, MALLECO","TEMUCO, CARAHUE, CUNCO, CURARREHUE, FREIRE, ANGOL, COLLIPULLI, CURACAUTIN, ERCILLA, LONQUIMAY"
"Competitividad / Conectividad","Dirección de Vialidad",51489,"40030681-0","EN EJECUCION","Sectorial","CONSERVACION GLOBAL MIXTA CAMINOS RED VIAL REGION DE AYSEN 2022-2026","Aysén del General Carlos Ibáñez del Campo",25/01/24,30/10/28,105995680,"COIHAIQUE, AYSEN, CAPITAN PRAT, GENERAL CARRERA","LAGO VERDE, CISNES, TORTEL, CHILE CHICO"
"Competitividad / Conectividad","Dirección de Vialidad",51487,"40030658-0","EN EJECUCION","Sectorial","CONSERVACION GLOBAL MIXTA CAMINOS RED VIAL REGION DEL MAULE 2022-2026","Maule",27/07/23,10/10/28,78984323,"TALCA, CAUQUENES, CURICO, LINARES","TALCA, CONSTITUCION, CUREPTO, EMPEDRADO, MAULE, PELARCO, PENCAHUE, RIO CLARO, SAN CLEMENTE, SAN RAFAEL, CAUQUENES, CHANCO, PELLUHUE, CURICO, HUALAÑE, LICANTEN, MOLINA, RAUCO, ROMERAL, SAGRADA FAMILIA, TENO, VICHUQUEN, LINARES, COLBUN, LONGAVI, PARRAL, RETIRO, SAN JAVIER, VILLA ALEGRE, YERBAS BUENAS"
"Competitividad / Conectividad","Dirección de Vialidad",51486,"40030679-0","EN EJECUCION","Sectorial","CONSERVACION GLOBAL MIXTA CAMINOS RED VIAL REGION DE LOS LAGOS 2022-2026","Los Lagos",01/01/22,09/05/27,44498618,"LLANQUIHUE, CHILOE, OSORNO, PALENA","PUERTO MONTT, DALCAHUE, RIO NEGRO, FUTALEUFU"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Arquitectura",51464,"40030513-0","TERMINADO","Sectorial","CONSERVACION DS50 ACCESIBILIDAD UNIVERSAL REGION DE AYSEN-PLAN DE RECUPERACION","Aysén del General Carlos Ibáñez del Campo",01/01/21,04/01/22,291315,"AYSEN","AYSEN"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",51442,"40029933-0","FACTIBILIDAD","Sectorial","NORMALIZACION CHORRILLO MAGDALENA SECTOR VILLA GENEROSA, COMUNA PTA ARENAS","Magallanes y de la Antártica Chilena",28/11/23,30/12/26,682034,"MAGALLANES","PUNTA ARENAS"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",51440,"40029075-0","EN EJECUCION","Sectorial","DIAGNOSTICO PLAN DE MANEJO Y EST DESLIND RÍO LAS MINAS, SEC PONIENTE AV CIRCUNV. PTA ARENAS","Magallanes y de la Antártica Chilena",28/12/22,18/10/24,304093,"MAGALLANES","PUNTA ARENAS"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",51438,"40030554-0","TERMINADO","Sectorial","CONSERVACION DE RIBERAS 2022-2026, REGIÓN DE MAGALLANES Y DE LA ANTARTICA CHILENA","Magallanes y de la Antártica Chilena",07/07/22,24/12/23,1005838,"INTERPROVINCIAL","INTERCOMUNAL"
"Competitividad / Conectividad","Dirección de Vialidad",51432,"40030515-0","EN EJECUCION","Sectorial","CONSERVACION PASADAS URBANAS REGION DEL BIOBIO GLOSA 7","Biobío",07/05/21,18/07/25,520803,"INTERPROVINCIAL","INTERCOMUNAL"
"Seguridad Ciudadana y ante desastres naturales y emergencias","Dirección de Obras Hidráulicas",51431,"40030523-0","TERMINADO","Sectorial","CONSERVACION RED PRIMARIA DE AGUAS LLUVIAS 2022-2026 REGION DE MAGALLANES","Magallanes y de la Antártica Chilena",10/05/22,16/12/22,376323,"MAGALLANES","PUNTA ARENAS"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Arquitectura",51429,"40030522-0","TERMINADO","Sectorial","CONSERVACION PISO 6° (SEREMI OOPP)  EDIFICIO MOP REGION DE LA ARAUCANIA","La Araucanía",01/01/22,16/09/23,364541,"CAUTIN","TEMUCO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51427,"30470140-0","TERMINADO","Sectorial","MEJORAMIENTO SSR LAS SALINAS COMUNA DE PAPUDO","Valparaíso",16/05/22,21/05/23,1187308,"VALPARAISO","VIÑA DEL MAR"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Arquitectura",51426,"40030424-0","EN EJECUCION","Sectorial","CONSERVACION CONSERVACIÓN PALACIO DE LA MONEDA 2022-2024","Metropolitana de Santiago",01/01/22,30/12/24,3637706,"SANTIAGO","SANTIAGO"
"Competitividad / Conectividad","Dirección de Obras Portuarias",51416,"40029709-0","EN EJECUCION","Sectorial","REPOSICION RAMPA POYO, CHAITEN","Los Lagos",08/09/23,30/12/25,3384987,"PALENA","CHAITEN"
"Competitividad / Conectividad","Dirección de Obras Portuarias",51415,"40029708-0","TERMINADO","Sectorial","CONSTRUCCION INFRAESTRUCTURA PORTUARIA EN ISLA TENGLO, PUERTO MONTT","Los Lagos",31/05/23,06/08/24,1469068,"LLANQUIHUE","PUERTO MONTT"
"Competitividad / Conectividad","Dirección de Obras Portuarias",51414,"40029707-0","EN EJECUCION","Sectorial","MEJORAMIENTO RAMPA PUELO COMUNA DE COCHAMO","Los Lagos",10/10/23,23/09/24,1750970,"LLANQUIHUE","COCHAMO"
"Competitividad / Conectividad","Dirección de Aeropuertos",51413,"40029865-0","TERMINADO","Sectorial","CONSERVACION MAYOR AREA DE MOVIMIENTO AERÓDROMO DE CHAMONATE, PLAN DE RECUPERACIÓN","Atacama",01/01/21,11/07/22,1946610,"COPIAPO","COPIAPO"
"Competitividad / Conectividad","Dirección de Aeropuertos",51411,"40030400-0","TERMINADO","Sectorial","CONSERVACION MAYOR AEREA DE MOVIMIENTO AEROPUERTO DIEGO ARACENA 2021/2022, PLAN RECUPERACION","Tarapacá",01/01/21,12/07/22,3051511,"IQUIQUE","IQUIQUE"
"Competitividad / Conectividad","Dirección de Aeropuertos",51410,"40030402-0","TERMINADO","Sectorial","CONSERVACION MAYOR AEROPUERTO ARTURO MERINO BENITEZ AÑOS 2021/2022, PLAN DE RECUPERACION","Metropolitana de Santiago",01/01/21,26/02/22,2068507,"SANTIAGO","PUDAHUEL"
"Competitividad / Conectividad","Dirección de Aeropuertos",51405,"40030399-0","TERMINADO","Sectorial","CONSERVACION PEQUENOS AERODROMOS ZONA CENTRAL 2021/2022, PLAN DE RECUPERACION","Interregional",01/01/21,13/05/22,1848111,"CACHAPOAL, CARDENAL CARO, SANTIAGO","RANCAGUA, PICHILEMU, VITACURA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51401,"40030360-0","TERMINADO","Sectorial","CONSERVACION SISTEMAS DE APR POR SEQUÍA AÑO 2021-2022, REGIÓN METROPOLITANA","Metropolitana de Santiago",10/06/21,20/02/23,3658641,"INTERPROVINCIAL","INTERCOMUNAL"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51399,"40030361-0","TERMINADO","Sectorial","CONSERVACION SISTEMAS DE APR POR SEQUÍA AÑO 2021-2022, REGIÓN DE ÑUBLE","Ñuble",01/10/20,24/03/24,4076833,"INTERPROVINCIAL","INTERCOMUNAL"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51398,"40030351-0","TERMINADO","Sectorial","CONSERVACION SISTEMAS DE APR POR SEQUÍA AÑO 2021-2022, REGIÓN DE COQUIMBO","Coquimbo",21/09/20,27/12/23,5124562,"INTERPROVINCIAL","INTERCOMUNAL"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51397,"40030354-0","TERMINADO","Sectorial","CONSERVACION SISTEMAS DE APR POR SEQUÍA AÑO 2021-2022, REGIÓN DE VALPARAÍSO","Valparaíso",01/06/21,25/10/23,38377548,"INTERPROVINCIAL","INTERCOMUNAL"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51392,"40030357-0","TERMINADO","Sectorial","CONSERVACION SISTEMAS DE APR POR SEQUÍA AÑO 2021-2022, REGIÓN DE O'HIGGINS","Libertador General Bernardo O'Higgins",04/08/21,31/01/22,430479,"INTERPROVINCIAL","INTERCOMUNAL"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51385,"40027703-0","TERMINADO","Sectorial","MEJORAMIENTO SISTEMA APR PUNTA DE CHOROS, COMUNA LA HIGUERA ","Coquimbo",19/12/22,07/07/24,2994929,"ELQUI","LA HIGUERA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51382,"40030359-0","TERMINADO","Sectorial","CONSERVACION SISTEMAS DE APR POR SEQUÍA AÑO 2021-2022, REGIÓN DEL MAULE","Maule",04/01/22,06/09/22,1572665,"INTERPROVINCIAL","INTERCOMUNAL"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51381,"40030362-0","TERMINADO","Sectorial","CONSERVACION SISTEMAS DE APR POR SEQUÍA AÑO 2021-2022, REGIÓN DEL BIO BÍO","Biobío",23/06/21,06/11/22,1107212,"INTERPROVINCIAL","INTERCOMUNAL"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",51379,"40030330-0","TERMINADO","Sectorial","DIAGNOSTICO DE CAPACIDAD DE PLAYAS  Y USO DE BORDE COSTERO,  COMUNA DE IQUIQUE ","Tarapacá",01/01/22,28/10/23,154202,"IQUIQUE","IQUIQUE"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51378,"40029719-0","TERMINADO","Sectorial","CONSTRUCCION SERVICIO APR DE HUIPEL-MUCÚN, LANCO","Los Ríos",18/05/21,12/06/22,1321563,"VALDIVIA","LANCO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51375,"40030304-0","TERMINADO","Sectorial","CONSERVACION INTEGRAL SISTEMA DE AGUA POTABLE RURAL  SAN PEDRO DE ATA","Antofagasta",01/01/21,23/06/22,946814,"EL LOA","SAN PEDRO DE ATACAMA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51373,"40002455-0","TERMINADO","Sectorial","CONSTRUCCION SISTEMA DE AGUA POTABLE RURAL FACHINAL, COMUNA DE CHILE CHICO","Aysén del General Carlos Ibáñez del Campo",07/10/21,30/07/22,1052916,"GENERAL CARRERA","CHILE CHICO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51365,"40022913-0","EN EJECUCION","Sectorial","CONSTRUCCION DEL SERVICIO APR EL RESPLANDOR, COMUNA DE LAMPA","Metropolitana de Santiago",21/07/22,01/12/24,958150,"CHACABUCO","LAMPA"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Arquitectura",51364,"40030197-0","EN EJECUCION","Sectorial","CONSERVACION INFRAESTRUCTURA DE APOYO NIVEL NACIONAL 2022-2024","Interregional",30/05/22,28/02/25,13510537,"INTERPROVINCIAL","INTERCOMUNAL"
"Seguridad hídrica","Dirección de Obras Hidráulicas",51362,"40027158-0","FACTIBILIDAD","Sectorial","CONSTRUCCION SISTEMA DE RIEGO PARA DESARROLLO AGRICOLA, CANAL IMPERIAL N. IMPERIAL","La Araucanía",15/08/23,20/12/24,2210195,"CAUTIN","NUEVA IMPERIAL"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",51348,"40025888-0","TERMINADO","Sectorial","ANALISIS CONDICIONES NATURALES CALETA LA BARRA, TOLTÉN","La Araucanía",13/01/22,22/06/22,105780,"CAUTIN","TOLTEN"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51346,"40024633-0","TERMINADO","Sectorial","CONSTRUCCION SERVICIO DE APR DE LOS MOLINOS ALTOS, VALDIVIA","Los Ríos",15/05/21,16/04/24,1094307,"VALDIVIA","VALDIVIA"
"Competitividad / Conectividad","Dirección de Vialidad",51345,"40028081-0","TERMINADO","Sectorial","ANALISIS CONDICIONES DE ESTABILIDAD Y SEGURIDAD DE TUNELES","Interregional",01/01/21,24/09/22,278608,"INTERPROVINCIAL","INTERCOMUNAL"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51343,"40027523-0","EN EJECUCION","Sectorial","MEJORAMIENTO Y AMPLIACION SERVICIO APR LAS CANTERAS, COLINA","Metropolitana de Santiago",31/05/22,01/12/24,3291513,"CHACABUCO","COLINA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51342,"40027401-0","EN EJECUCION","Sectorial","AMPLIACION Y MEJORAMIENTO DEL SAPR EL LABRADOR, TALAGANTE ","Metropolitana de Santiago",28/07/22,01/12/24,2130173,"TALAGANTE","TALAGANTE"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51339,"40028324-0","EN EJECUCION","Sectorial","MEJORAMIENTO Y AMPLIACIÓN APR NUEVO PORVENIR DE LA COMUNA DE LAMPA","Metropolitana de Santiago",18/08/22,01/12/24,3008331,"CHACABUCO","LAMPA"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Obras Portuarias",51335,"40026617-0","EN EJECUCION","Sectorial","CONSTRUCCION OBRAS MARÍTIMAS Y TERRESTRES CALETA HORCÓN, PUCHUNCAVI","Valparaíso",01/01/22,20/07/25,8966257,"VALPARAISO","PUCHUNCAVI"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51330,"40021127-0","TERMINADO","Sectorial","CONSTRUCCION SISTEMA DE AGUA POTABLE RURAL RADALCO, CURACAUTIN","La Araucanía",23/09/21,16/06/24,2309936,"MALLECO","CURACAUTIN"
"Desarrollo Energético, Productivo, Social, Cultural y Científico","Dirección de Arquitectura",51328,"40029845-0","TERMINADO","Sectorial","CONSERVACION INTEGRAL ASCENSORES CONCEPCIÓN, CORDILLERA, ESPÍRITU SANTO REGIÓN DE VALPARAÍSO","Valparaíso",01/01/21,25/10/23,941036,"VALPARAISO","VALPARAISO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51320,"40024575-0","EN EJECUCION","Sectorial","AMPLIACION Y MEJORAMIENTO APR MAITENES DE ULMÉN COMUNA MELIPILLA","Metropolitana de Santiago",30/05/22,29/05/25,12358322,"MELIPILLA","MELIPILLA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51317,"40027775-0","EN EJECUCION","Sectorial","MEJORAMIENTO Y AMPLIACIÓN SISTEMA APR PULIN, LITUECHE","Libertador General Bernardo O'Higgins",31/07/21,28/04/25,247085,"CARDENAL CARO","LITUECHE"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51316,"40028419-0","TERMINADO","Sectorial","MEJORAMIENTO SISTEMA APR  BOLDOMAHUIDA-LA CABRERÍA, CHÉPICA","Libertador General Bernardo O'Higgins",23/09/22,18/10/23,1280534,"COLCHAGUA","CHEPICA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51314,"40029444-0","TERMINADO","Sectorial","CONSERVACION DEL SISTEMA APR DE PAILLAO, VALDIVIA","Los Ríos",03/08/21,15/05/22,179772,"VALDIVIA","VALDIVIA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51313,"40029443-0","TERMINADO","Sectorial","CONSERVACION DEL SISTEMA APR NELTUME","Los Ríos",03/08/21,15/05/22,38172,"VALDIVIA","PANGUIPULLI"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51312,"40029435-0","TERMINADO","Sectorial","CONSERVACION SERVICIO APR DE SANTA FILOMENA 2, PAILLACO","Los Ríos",03/08/21,28/02/22,99524,"VALDIVIA","PAILLACO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51311,"40029438-0","TERMINADO","Sectorial","CONSERVACION SERVICIO APR CIRUELOS DOLLINCO","Los Ríos",03/08/21,15/05/22,128294,"VALDIVIA","MARIQUINA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51310,"40029439-0","TERMINADO","Sectorial","CONSERVACION SERVICIO APR AMARGO SAN CARLOS","Los Ríos",03/08/21,15/05/22,46298,"VALDIVIA","CORRAL"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51309,"40029447-0","TERMINADO","Sectorial","CONSERVACION SERVICIO APR CAYURRUCA COMUNA RIO BUENO","Los Ríos",03/08/21,31/12/21,61999,"RANCO","RIO BUENO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51308,"40029428-0","TERMINADO","Sectorial","CONSERVACION SERVICIO AGUA POTABLE RURAL DE TREHUACO  RIO BUENO","Los Ríos",03/08/21,31/12/21,104469,"RANCO","RIO BUENO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51307,"40029399-0","TERMINADO","Sectorial","CONSERVACION SERVICIO APR DE QUILQUILCO, LOS LAGOS","Los Ríos",03/08/21,28/02/22,35666,"RANCO","RIO BUENO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51306,"40029436-0","TERMINADO","Sectorial","CONSERVACION SERVICIO APR TRUMAO COMUNA DE LA UNION","Los Ríos",03/08/21,31/12/21,201595,"RANCO","LA UNION"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51305,"40029434-0","TERMINADO","Sectorial","CONSERVACION SERVICIO APR LOS LEONES, COMUNA LA UNION","Los Ríos",03/08/21,31/12/21,24227,"RANCO","LA UNION"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51304,"40029442-0","TERMINADO","Sectorial","CONSERVACION CONSERVACION APR DOLLINCO FUTRONO","Los Ríos",03/08/21,28/02/22,88143,"RANCO","FUTRONO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51303,"40029433-0","TERMINADO","Sectorial","CONSERVACION APR QUIMAN COMUNA FUTRONO","Los Ríos",03/08/21,28/02/22,87340,"RANCO","FUTRONO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51302,"40029415-0","TERMINADO","Sectorial","CONSERVACION SSR LA TROYA DE LA COMUNA DE SAN FELIPE","Valparaíso",30/06/21,17/12/21,170922,"SAN FELIPE","SAN FELIPE"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51301,"40029414-0","TERMINADO","Sectorial","CONSERVACION SSR EL OLIVO PURUTUN COMUNA DE LA CALERA","Valparaíso",03/09/21,31/01/22,183702,"QUILLOTA","CALERA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51300,"40029412-0","TERMINADO","Sectorial","CONSERVACION SSR EL ÑILHUE COMUNA DE CATEMU","Valparaíso",30/06/21,27/12/21,170446,"SAN FELIPE","CATEMU"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51299,"40029409-0","TERMINADO","Sectorial","CONSERVACION SSR EL MOLINO - LOS YUYOS COMUNA DE QUILPUÉ","Valparaíso",17/05/21,14/10/21,173945,"VALPARAISO","QUILPUE"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51298,"40029408-0","TERMINADO","Sectorial","CONSERVACION SSR VALLE LOS OLMOS DE LA COMUNA DE PETORCA","Valparaíso",01/06/21,28/11/21,175653,"PETORCA","PETORCA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51297,"40029407-0","TERMINADO","Sectorial","CONSERVACION SSR PUENTE TALANQUEN DE LA COMUNA DE PAPUDO","Valparaíso",01/06/21,28/11/21,170751,"PETORCA","PAPUDO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51296,"40029406-0","TERMINADO","Sectorial","CONSERVACION SSR POLCURA LA CHIMBA, COMUNA DE PETORCA","Valparaíso",01/06/21,28/11/21,176020,"PETORCA","PETORCA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51295,"40029395-0","TERMINADO","Sectorial","CONSERVACION SSR VALLE HERMOSO COMUNA DE LA LIGUA","Valparaíso",24/05/21,21/10/21,175655,"PETORCA","LA LIGUA"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51293,"40018488-0","TERMINADO","Sectorial","CONSTRUCCION SERVICIO AGUA POTABLE RURAL SECTOR ASTILLEROS-PUNAHUEL .DALCAHUE","Los Lagos",22/12/21,14/08/23,2803448,"CHILOE","DALCAHUE"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51291,"40025725-0","TERMINADO","Sectorial","CONSTRUCCION SERVICIO DE APR DE DOLLINCO, COMUNA DE NACIMIENTO","Biobío",25/05/21,06/09/22,1851152,"BIO BIO","NACIMIENTO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51285,"40029483-0","TERMINADO","Sectorial","CONSERVACION SISTEMA SANITARIO RURAL LLONCAO PAICAVI COMUNA DE CAÑETE ","Biobío",29/07/21,26/01/22,132074,"ARAUCO","CAÑETE"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51280,"40029403-0","TERMINADO","Sectorial","CONSERVACION DE FILTROS APR LORA, COMUNA DE LICANTEN","Maule",22/09/21,21/03/22,83632,"CURICO","LICANTEN"
"Competitividad / Conectividad","Dirección de Vialidad",51279,"40029641-0","EN EJECUCION","Sectorial","CONSERVACION GLOBAL MIXTA CAMINOS RED VIAL REGIÓN ÑUBLE 2020","Ñuble",01/01/21,08/06/25,9107705,"DIGUILLÍN, ITATA, PUNILLA","BULNES, CHILLAN VIEJO, EL CARMEN, PEMUCO, PINTO, QUILLON, SAN IGNACIO, YUNGAY, QUIRIHUE, COBQUECURA, COELEMU, NINHUE, PORTEZUELO, RANQUIL, TREGUACO, SAN CARLOS, COIHUECO, ÑIQUEN, SAN FABIAN, SAN NICOLAS"
"Competitividad / Conectividad","Dirección de Vialidad",51278,"40029640-0","EN EJECUCION","Sectorial","CONSERVACION GLOBAL MIXTA CAMINOS RED VIAL REG. AYSEN 2020","Aysén del General Carlos Ibáñez del Campo",01/01/21,26/07/25,13448286,"COIHAIQUE, AYSEN, CAPITAN PRAT, GENERAL CARRERA","COIHAIQUE, LAGO VERDE, AYSEN, CISNES, COCHRANE, O'HIGGINS, TORTEL, CHILE CHICO, RIO IBAÑEZ"
"Competitividad / Conectividad","Dirección de Vialidad",51271,"40028928-0","TERMINADO","Sectorial","MEJORAMIENTO CBI RUTA D-215, SECTOR MARQUESA - TALCUNA ORIENTE, VICUÑA","Coquimbo",28/07/22,18/05/24,4791831,"ELQUI","VICUÑA"
"Competitividad / Conectividad","Dirección de Vialidad",51266,"40025257-0","TERMINADO","Mixto","MEJORAMIENTO RUTA J-25, SECTOR EL MANZANO, TRAMO KM. 18,77 AL KM. 23,77; PROVINCIA DE CURICO","Maule",01/01/21,12/10/23,4224912,"CURICO","TENO"
"Seguridad hídrica","Subdirección de Servicios Sanitarios Rurales",51265,"40028345-0","TERMINADO","Sectorial","MEJORAMIENTO Y AMPLIACIÓN SISTEMA APR SAN LUIS VILLA ALEGRE, PLACILLA","Libertador General Bernardo O'Higgins",11/11/21,06/11/22,2974730,"COLCHAGUA","PLACILLA"
